구분,전력시장 참여(실적),한전PPA(실적),자가용태양광(추계)
2024.05,1321804,2488080,772935
2024.04,1027388,1941850,609424
2024.03,1018705,1970042,606490
2024.02,572721,1116960,345778
2024.01,650493,1266299,396445
2023.12,452905,858915,278742
2023.11,669361,1331237,393601
2023.10,941421,1796243,550432
2023.09,825418,1592668,486990
2023.08,939730,1859235,574017
2023.07,754338,1554184,488925
2023.06,908024,2279910,625214
2023.05,952316,1992118,599018
2023.04,888278,1846973,556532
2023.03,954009,1966687,605168
2023.02,711796.085,1459424,459424
2023.01,587173.074,1264999,400468.89
2022.12,439949.54,952861.61,315246.12
2022.11,587024.639,1310188.57,404981.59
2022.10,776861.876,1656965.4,545257.51
2022.09,695455,1566654.8,506638.25
2022.08,642662,1405656.85,463370
2022.07,741148.01,1660750.03,547573.37
2022.06,718657.487,1645518.46,536637.01
2022.05,999594.906,2284589.35,686873.13
2022.04,879453.209,1975407.34,609551
2022.03,676398,1497510.76,470314.06
2022.02,626899,1436351.36,454382
2022.01,537744.88,1257136.51,395824.53
2021.12,402748.169,987830.53,319567.9
2021.11,442463.731,1029216,334553.22
2021.10,559217.18,1319346.75,435097
2021.09,496220,1201470.54,401171
2021.08,527680,1276276.54,415920
2021.07,624568,1541513.34,502597
